id;jhi_key;shift_start;shift_end;type
1;21533;2024-01-14T14:29:01;2024-01-14T18:29:06;furthermore
2;11053;2024-01-14T09:05:04;2024-01-14T22:41:48;unaccountably cinch
3;8014;2024-01-14T23:24:49;2024-01-15T00:04:32;huzzah
4;6131;2024-01-14T21:00:01;2024-01-14T09:24:08;pretzel midst
5;28835;2024-01-14T08:07:14;2024-01-14T06:14:53;healthily border
6;22843;2024-01-14T10:59:51;2024-01-15T03:46:32;alongside mountainous
7;20690;2024-01-14T05:03:19;2024-01-14T13:20:58;separate scrawl
8;10048;2024-01-14T10:31:11;2024-01-14T22:04:52;sender
9;24573;2024-01-14T07:51:01;2024-01-15T01:50:12;pfft gadzooks
10;30768;2024-01-14T16:22:23;2024-01-14T23:39:28;nervously
