id;jhi_key;shift_start;shift_end;type
1;12029;2024-01-14T22:19:07;2024-01-15T03:59:49;unethically botany
2;26130;2024-01-14T14:50:48;2024-01-14T10:25:51;or midst decommission
3;13978;2024-01-14T20:03:38;2024-01-15T02:17:52;which
4;27315;2024-01-14T15:17:41;2024-01-15T00:25:53;foment aggression however
5;26199;2024-01-14T15:56:07;2024-01-14T08:53:15;take-out
6;5768;2024-01-15T03:55:44;2024-01-14T22:57:20;unexpectedly saxophone kookily
7;10892;2024-01-14T11:53:02;2024-01-14T17:19:56;overplay bus
8;11306;2024-01-14T19:36:45;2024-01-15T00:24:20;jingle
9;3208;2024-01-14T13:31:48;2024-01-14T15:16:00;energetically
10;2498;2024-01-14T07:59:36;2024-01-14T10:33:20;amid
